Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","661","Cocoa, beans","1968","1968","tonnes","144476","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","661","Cocoa, beans","1969","1969","tonnes","180706","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","661","Cocoa, beans","1970","1970","tonnes","179156","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","661","Cocoa, beans","1971","1971","tonnes","225814","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","661","Cocoa, beans","1972","1972","tonnes","185445","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","661","Cocoa, beans","1973","1973","tonnes","208522","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","661","Cocoa, beans","1974","1974","tonnes","241511","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","661","Cocoa, beans","1975","1975","tonnes","231136","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","661","Cocoa, beans","1976","1976","tonnes","232330","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","661","Cocoa, beans","1977","1977","tonnes","303621","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","661","Cocoa, beans","1978","1978","tonnes","318381","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","661","Cocoa, beans","1979","1979","tonnes","397759","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","661","Cocoa, beans","1980","1980","tonnes","417222","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","661","Cocoa, beans","1981","1981","tonnes","464751","","Official data"
